date,basket_type,item_name,scraped_name,price,unit_size,brand,store,source_file,unit_value,unit_unit,grams_total,price_per_100g,price_per_unit
2024-09-01,Healthy,Whole Wheat,Great Value 100% Whole Wheat Bread,2.52,20 oz,Great Value,Walmart,raw_prices_202409.csv,20.0,oz,566.99,0.44445228310904955,
2024-09-01,Healthy,Brown Rice,Great Value Long Grain Brown Rice,1.86,2 lb,Great Value,Walmart,raw_prices_202409.csv,2.0,lb,907.184,0.2050300710770913,
2024-09-01,Healthy,Quinoa,Great Value Organic White Quinoa,4.92,12 oz,Great Value,Walmart,raw_prices_202409.csv,12.0,oz,340.19399999999996,1.4462336196405583,
2024-09-01,Healthy,Chickpeas (Dry),Great Value Garbanzo Beans,1.45,1 lb,Great Value,Walmart,raw_prices_202409.csv,1.0,lb,453.592,0.3196705409266477,
2024-09-01,Healthy,Lentils (Dry),Great Value Brown Lentils,1.41,1 lb,Great Value,Walmart,raw_prices_202409.csv,1.0,lb,453.592,0.31085204324591265,
2024-09-01,Healthy,Greek Yogurt,Great Value Nonfat Plain Greek Yogurt,4.2,32 oz,Great Value,Walmart,raw_prices_202409.csv,32.0,oz,907.184,0.4629711282385933,
2024-09-01,Healthy,Spinach,Fresh Spinach Bag,2.25,10 oz bag,Fresh,Walmart,raw_prices_202409.csv,10.0,oz,283.495,0.7936647912661599,
2024-09-01,Healthy,Broccoli,Fresh Broccoli Crowns,1.79,1 lb,Fresh,Walmart,raw_prices_202409.csv,1.0,lb,453.592,0.3946277712128962,
2024-09-01,Healthy,Carrots,Fresh Whole Carrots,1.26,2 lb bag,Fresh,Walmart,raw_prices_202409.csv,2.0,lb,907.184,0.138891338471578,
2024-09-01,Healthy,Apples,Gala Apples Bag,4.37,3 lb bag,Fresh,Walmart,raw_prices_202409.csv,3.0,lb,1360.7759999999998,0.3211402905401036,
2024-09-01,Healthy,Bananas,Fresh Bananas,0.61,1 lb,Fresh,Walmart,raw_prices_202409.csv,1.0,lb,453.592,0.13448208963121042,
2024-09-01,Healthy,Tofu,Nasoya Extra Firm Tofu,2.47,14 oz,Nasoya,Walmart,raw_prices_202409.csv,14.0,oz,396.893,0.6223339791833064,
2024-09-01,Healthy,Oats,Great Value Old Fashioned Oats,3.37,42 oz,Great Value,Walmart,raw_prices_202409.csv,42.0,oz,1190.6789999999999,0.28303178270549834,
2024-09-01,Healthy,Peanut Butter,Great Value Creamy Peanut Butter,1.61,16 oz,Great Value,Walmart,raw_prices_202409.csv,16.0,oz,453.592,0.3549445316495882,
2024-09-01,Healthy,Olive Oil,Great Value Extra Virgin Olive Oil,5.96,16.9 oz,Great Value,Walmart,raw_prices_202409.csv,16.9,oz,479.10654999999997,1.2439821580397932,
2024-09-01,UltraProcessed,Frozen Pizza,Great Value Pepperoni Frozen Pizza,3.81,12 in,Great Value,Walmart,raw_prices_202409.csv,12.0,in,,,
2024-09-01,UltraProcessed,Soda,Coca-Cola Original Soda,2.22,2 L,Coca-Cola,Walmart,raw_prices_202409.csv,2.0,l,2000.0,0.11100000000000002,
2024-09-01,UltraProcessed,Chips,Lay's Classic Potato Chips,3.43,8 oz,Lay's,Walmart,raw_prices_202409.csv,8.0,oz,226.796,1.5123723522460715,
2024-09-01,UltraProcessed,Instant Noodles,Maruchan Chicken Ramen Noodle Soup,2.82,12 pack,Maruchan,Walmart,raw_prices_202409.csv,12.0,count,,,0.235
2024-09-01,UltraProcessed,Sugary Cereal,Kellogg's Froot Loops Cereal,4.29,19.4 oz,Kellogg's,Walmart,raw_prices_202409.csv,19.4,oz,549.9802999999999,0.780027939182549,
2024-09-01,UltraProcessed,Ice Cream,Great Value Vanilla Ice Cream,3.33,48 oz,Great Value,Walmart,raw_prices_202409.csv,48.0,oz,1360.7759999999998,0.24471331064039933,
2024-09-01,UltraProcessed,Candy,Skittles Original Candy Bag,2.12,9 oz,Skittles,Walmart,raw_prices_202409.csv,9.0,oz,255.1455,0.8308984481403748,
2024-09-01,UltraProcessed,White Bread,Wonder Classic White Bread,2.57,20 oz,Wonder,Walmart,raw_prices_202409.csv,20.0,oz,566.99,0.4532707807897846,
2024-09-01,UltraProcessed,Processed Cheese Slice,Kraft Singles American Cheese Slices,4.4,16 slices,Kraft,Walmart,raw_prices_202409.csv,16.0,slices,,,
2024-09-01,UltraProcessed,Chicken Nuggets,Tyson Fully Cooked Chicken Nuggets,7.5,32 oz,Tyson,Walmart,raw_prices_202409.csv,32.0,oz,907.184,0.8267341575689166,
2024-09-01,UltraProcessed,Energy Drink,Monster Energy Original,2.36,16 fl oz,Monster,Walmart,raw_prices_202409.csv,16.0,fl oz,473.12,0.4988163679404802,
2024-09-01,UltraProcessed,Microwave Popcorn,Orville Redenbacher's Movie Theater Popcorn,4.12,6 pack,Orville Redenbacher's,Walmart,raw_prices_202409.csv,6.0,count,,,0.6866666666666666
2024-09-01,UltraProcessed,Hot Dogs,Bar-S Classic Franks,1.15,12 oz,Bar-S,Walmart,raw_prices_202409.csv,12.0,oz,340.19399999999996,0.3380424110948459,
2024-09-01,UltraProcessed,Chocolate Cookies,Oreo Original Chocolate Sandwich Cookies,4.37,14.3 oz,Oreo,Walmart,raw_prices_202409.csv,14.3,oz,405.39785,1.077953422791956,
2024-09-01,UltraProcessed,Mac and Cheese,Kraft Macaroni and Cheese Dinner,4.42,5 pack,Kraft,Walmart,raw_prices_202409.csv,5.0,count,,,0.884
2024-09-01,Neutral,Pasta,Barilla Spaghetti Pasta,1.52,16 oz,Barilla,Walmart,raw_prices_202409.csv,16.0,oz,453.592,0.33510291186793423,
2024-09-01,Neutral,Tomato Sauce,Great Value Traditional Pasta Sauce,1.19,24 oz,Great Value,Walmart,raw_prices_202409.csv,24.0,oz,680.3879999999999,0.17490020400124637,
2024-09-01,Neutral,Milk,Great Value 2% Reduced Fat Milk,3.2,1 gal,Great Value,Walmart,raw_prices_202409.csv,1.0,gal,,,
2024-09-01,Neutral,Potatoes,Russet Potatoes Bag,4.95,5 lb bag,Fresh,Walmart,raw_prices_202409.csv,5.0,lb,2267.96,0.21825781759819396,
2024-09-01,Neutral,Bananas,Fresh Bananas,0.62,1 lb,Fresh,Walmart,raw_prices_202409.csv,1.0,lb,453.592,0.1366867140513942,
