item_name,scraped_name,brand,store
Apples,Gala Apples Bag,Fresh,Walmart
Bananas,Fresh Bananas,Fresh,Walmart
Broccoli,Fresh Broccoli Crowns,Fresh,Walmart
Brown Rice,Great Value Long Grain Brown Rice,Great Value,Walmart
Butter,Great Value Salted Butter Sticks,Great Value,Walmart
Candy,Skittles Original Candy Bag,Skittles,Walmart
Canned Beans,Bush's Best Black Beans,Bush's Best,Walmart
Canned Corn,Del Monte Whole Kernel Corn,Del Monte,Walmart
Carrots,Fresh Whole Carrots,Fresh,Walmart
Chicken Nuggets,Tyson Fully Cooked Chicken Nuggets,Tyson,Walmart
Chickpeas (Dry),Great Value Garbanzo Beans,Great Value,Walmart
Chips,Lay's Classic Potato Chips,Lay's,Walmart
Chocolate Cookies,Oreo Original Chocolate Sandwich Cookies,Oreo,Walmart
Eggs,Great Value Large White Eggs,Great Value,Walmart
Energy Drink,Monster Energy Original,Monster,Walmart
Flour,Great Value All Purpose Flour,Great Value,Walmart
Frozen Pizza,Great Value Pepperoni Frozen Pizza,Great Value,Walmart
Greek Yogurt,Great Value Nonfat Plain Greek Yogurt,Great Value,Walmart
Hot Dogs,Bar-S Classic Franks,Bar-S,Walmart
Ice Cream,Great Value Vanilla Ice Cream,Great Value,Walmart
Instant Noodles,Maruchan Chicken Ramen Noodle Soup,Maruchan,Walmart
Lentils (Dry),Great Value Brown Lentils,Great Value,Walmart
Mac and Cheese,Kraft Macaroni and Cheese Dinner,Kraft,Walmart
Microwave Popcorn,Orville Redenbacher's Movie Theater Popcorn,Orville Redenbacher's,Walmart
Milk,Great Value 2% Reduced Fat Milk,Great Value,Walmart
Oats,Great Value Old Fashioned Oats,Great Value,Walmart
Olive Oil,Great Value Extra Virgin Olive Oil,Great Value,Walmart
Onions,Yellow Onions Bag,Fresh,Walmart
Pasta,Barilla Spaghetti Pasta,Barilla,Walmart
Peanut Butter,Great Value Creamy Peanut Butter,Great Value,Walmart
Potatoes,Russet Potatoes Bag,Fresh,Walmart
Processed Cheese Slice,Kraft Singles American Cheese Slices,Kraft,Walmart
Quinoa,Great Value Organic White Quinoa,Great Value,Walmart
Snack Crackers,Ritz Original Crackers,Ritz,Walmart
Soda,Coca-Cola Original Soda,Coca-Cola,Walmart
Spinach,Fresh Spinach Bag,Fresh,Walmart
Sugar,Great Value Granulated Sugar,Great Value,Walmart
Sugary Cereal,Kellogg's Froot Loops Cereal,Kellogg's,Walmart
Tofu,Nasoya Extra Firm Tofu,Nasoya,Walmart
Tomato Sauce,Great Value Traditional Pasta Sauce,Great Value,Walmart
Tortillas,Mission Flour Tortillas,Mission,Walmart
White Bread,Wonder Classic White Bread,Wonder,Walmart
White Rice,Great Value Long Grain White Rice,Great Value,Walmart
Whole Wheat,Great Value 100% Whole Wheat Bread,Great Value,Walmart
