date,basket_type,item_name,scraped_name,brand,store,price,unit_size,unit_value,unit_unit,grams_total,price_per_100g,price_per_unit,source_file
2020-01-01,Healthy,Apples,Gala Apples Bag,Fresh,Walmart,4.33,3 lb bag,3.0,lb,1360.7759999999998,0.3182007913131919,,raw_prices_202001.csv
2020-01-01,Healthy,Bananas,Fresh Bananas,Fresh,Walmart,0.59,1 lb,1.0,lb,453.592,0.1300728407908429,,raw_prices_202001.csv
2020-01-01,Healthy,Broccoli,Fresh Broccoli Crowns,Fresh,Walmart,1.82,1 lb,1.0,lb,453.592,0.4012416444734475,,raw_prices_202001.csv
2020-01-01,Healthy,Brown Rice,Great Value Long Grain Brown Rice,Great Value,Walmart,1.83,2 lb,2.0,lb,907.184,0.2017231344468156,,raw_prices_202001.csv
2020-01-01,Healthy,Carrots,Fresh Whole Carrots,Fresh,Walmart,1.25,2 lb bag,2.0,lb,907.184,0.1377890262614861,,raw_prices_202001.csv
2020-01-01,Healthy,Chickpeas (Dry),Great Value Garbanzo Beans,Great Value,Walmart,1.4,1 lb,1.0,lb,453.592,0.3086474188257288,,raw_prices_202001.csv
2020-01-01,Healthy,Greek Yogurt,Great Value Nonfat Plain Greek Yogurt,Great Value,Walmart,4.0,32 oz,32.0,oz,907.184,0.4409248840367555,,raw_prices_202001.csv
2020-01-01,Healthy,Lentils (Dry),Great Value Brown Lentils,Great Value,Walmart,1.35,1 lb,1.0,lb,453.592,0.29762429672481,,raw_prices_202001.csv
2020-01-01,Healthy,Oats,Great Value Old Fashioned Oats,Great Value,Walmart,3.3,42 oz,42.0,oz,1190.679,0.2771527842516749,,raw_prices_202001.csv
2020-01-01,Healthy,Olive Oil,Great Value Extra Virgin Olive Oil,Great Value,Walmart,5.78,16.9 oz,16.9,oz,479.10655,1.2064122270922826,,raw_prices_202001.csv
2020-01-01,Healthy,Peanut Butter,Great Value Creamy Peanut Butter,Great Value,Walmart,1.66,16 oz,16.0,oz,453.592,0.365967653750507,,raw_prices_202001.csv
2020-01-01,Healthy,Quinoa,Great Value Organic White Quinoa,Great Value,Walmart,4.89,12 oz,12.0,oz,340.194,1.437415121959823,,raw_prices_202001.csv
2020-01-01,Healthy,Spinach,Fresh Spinach Bag,Fresh,Walmart,2.22,10 oz bag,10.0,oz,283.495,0.7830825940492778,,raw_prices_202001.csv
2020-01-01,Healthy,Tofu,Nasoya Extra Firm Tofu,Nasoya,Walmart,2.44,14 oz,14.0,oz,396.893,0.6147752668855334,,raw_prices_202001.csv
2020-01-01,Healthy,Whole Wheat,Great Value 100% Whole Wheat Bread,Great Value,Walmart,2.43,20 oz,20.0,oz,566.99,0.4285789872837263,,raw_prices_202001.csv
2020-01-01,Neutral,Bananas,Fresh Bananas,Fresh,Walmart,0.6,1 lb,1.0,lb,453.592,0.1322774652110266,,raw_prices_202001.csv
2020-01-01,Neutral,Butter,Great Value Salted Butter Sticks,Great Value,Walmart,3.84,16 oz,16.0,oz,453.592,0.8465757773505704,,raw_prices_202001.csv
2020-01-01,Neutral,Canned Beans,Bush's Best Black Beans,Bush's Best,Walmart,1.48,15.5 oz can,15.5,oz,439.41725,0.3368097178706571,,raw_prices_202001.csv
2020-01-01,Neutral,Canned Corn,Del Monte Whole Kernel Corn,Del Monte,Walmart,1.25,15.25 oz can,15.25,oz,432.329875,0.2891310714995118,,raw_prices_202001.csv
2020-01-01,Neutral,Eggs,Great Value Large White Eggs,Great Value,Walmart,2.13,12 count,12.0,count,,,0.1775,raw_prices_202001.csv
2020-01-01,Neutral,Flour,Great Value All Purpose Flour,Great Value,Walmart,2.17,5 lb,5.0,lb,2267.96,0.0956806998359759,,raw_prices_202001.csv
2020-01-01,Neutral,Milk,Great Value 2% Reduced Fat Milk,Great Value,Walmart,3.08,1 gal,1.0,gal,,,,raw_prices_202001.csv
2020-01-01,Neutral,Onions,Yellow Onions Bag,Fresh,Walmart,2.88,3 lb bag,3.0,lb,1360.7759999999998,0.2116439443376426,,raw_prices_202001.csv
2020-01-01,Neutral,Pasta,Barilla Spaghetti Pasta,Barilla,Walmart,1.47,16 oz,16.0,oz,453.592,0.3240797897670153,,raw_prices_202001.csv
2020-01-01,Neutral,Potatoes,Russet Potatoes Bag,Fresh,Walmart,4.82,5 lb bag,5.0,lb,2267.96,0.2125257941057161,,raw_prices_202001.csv
2020-01-01,Neutral,Snack Crackers,Ritz Original Crackers,Ritz,Walmart,3.57,13.7 oz,13.7,oz,388.38815,0.9191835538751634,,raw_prices_202001.csv
2020-01-01,Neutral,Sugar,Great Value Granulated Sugar,Great Value,Walmart,2.76,4 lb,4.0,lb,1814.368,0.1521190849926806,,raw_prices_202001.csv
2020-01-01,Neutral,Tomato Sauce,Great Value Traditional Pasta Sauce,Great Value,Walmart,1.15,24 oz,24.0,oz,680.3879999999999,0.1690212055474229,,raw_prices_202001.csv
2020-01-01,Neutral,Tortillas,Mission Flour Tortillas,Mission,Walmart,2.85,10 count,10.0,count,,,0.285,raw_prices_202001.csv
2020-01-01,Neutral,White Rice,Great Value Long Grain White Rice,Great Value,Walmart,1.96,2 lb,2.0,lb,907.184,0.2160531931780102,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Candy,Skittles Original Candy Bag,Skittles,Walmart,2.06,9 oz,9.0,oz,255.1455,0.8073824543250813,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Chicken Nuggets,Tyson Fully Cooked Chicken Nuggets,Tyson,Walmart,7.4,32 oz,32.0,oz,907.184,0.8157110354679977,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Chips,Lay's Classic Potato Chips,Lay's,Walmart,3.54,8 oz,8.0,oz,226.796,1.5608740894901143,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Chocolate Cookies,Oreo Original Chocolate Sandwich Cookies,Oreo,Walmart,4.32,14.3 oz,14.3,oz,405.39785,1.065619859602117,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Energy Drink,Monster Energy Original,Monster,Walmart,2.31,16 fl oz,16.0,fl oz,473.12,0.4882482245519107,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Frozen Pizza,Great Value Pepperoni Frozen Pizza,Great Value,Walmart,3.88,12 in,12.0,in,,,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Hot Dogs,Bar-S Classic Franks,Bar-S,Walmart,1.16,12 oz,12.0,oz,340.194,0.3409819103217576,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Ice Cream,Great Value Vanilla Ice Cream,Great Value,Walmart,3.25,48 oz,48.0,oz,1360.7759999999998,0.2388343121865759,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Instant Noodles,Maruchan Chicken Ramen Noodle Soup,Maruchan,Walmart,2.81,12 pack,12.0,count,,,0.2341666666666666,raw_prices_202001.csv
2020-01-01,UltraProcessed,Mac and Cheese,Kraft Macaroni and Cheese Dinner,Kraft,Walmart,4.4,5 pack,5.0,count,,,0.8800000000000001,raw_prices_202001.csv
2020-01-01,UltraProcessed,Microwave Popcorn,Orville Redenbacher's Movie Theater Popcorn,Orville Redenbacher's,Walmart,4.03,6 pack,6.0,count,,,0.6716666666666667,raw_prices_202001.csv
2020-01-01,UltraProcessed,Processed Cheese Slice,Kraft Singles American Cheese Slices,Kraft,Walmart,4.47,16 slices,16.0,slices,,,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Soda,Coca-Cola Original Soda,Coca-Cola,Walmart,2.17,2 L,2.0,l,2000.0,0.1085,,raw_prices_202001.csv
2020-01-01,UltraProcessed,Sugary Cereal,Kellogg's Froot Loops Cereal,Kellogg's,Walmart,4.24,19.4 oz,19.4,oz,549.9802999999999,0.7709367044601417,,raw_prices_202001.csv
2020-01-01,UltraProcessed,White Bread,Wonder Classic White Bread,Wonder,Walmart,2.45,20 oz,20.0,oz,566.99,0.4321063863560204,,raw_prices_202001.csv
