date,basket_type,item_name,item_cost_in_basket,prev_item_cost,cost_change_abs,cost_change_pct
2020-02-01,Healthy,Greek Yogurt,132.16,128.0,4.159999999999997,3.2499999999999973
2020-02-01,Healthy,Apples,26.339999999999996,25.98,0.3599999999999959,1.3856812933025244
2020-02-01,Healthy,Chickpeas (Dry),1.41,1.4,0.010000000000000009,0.714285714285715
2020-02-01,Healthy,Brown Rice,3.66,3.66,0.0,0.0
2020-02-01,Healthy,Whole Wheat,2.43,2.43,0.0,0.0
2020-02-01,Healthy,Bananas,3.54,3.54,0.0,0.0
2020-02-01,Healthy,Lentils (Dry),1.35,1.35,0.0,0.0
2020-02-01,Healthy,Oats,3.28,3.3,-0.020000000000000018,-0.6060606060606066
2020-02-01,Healthy,Carrots,2.48,2.5,-0.020000000000000018,-0.8000000000000007
2020-02-01,Healthy,Spinach,2.19,2.22,-0.03000000000000025,-1.3513513513513624
2020-02-01,Healthy,Quinoa,4.83,4.89,-0.05999999999999961,-1.2269938650306669
2020-02-01,Healthy,Broccoli,3.48,3.64,-0.16000000000000014,-4.3956043956043995
2020-02-01,Healthy,Olive Oil,92.16,92.48,-0.3200000000000074,-0.3460207612456827
2020-02-01,Healthy,Tofu,33.74,34.16,-0.4199999999999946,-1.2295081967212957
2020-02-01,Healthy,Peanut Butter,26.08,26.56,-0.4800000000000004,-1.8072289156626522
2020-03-01,Healthy,Olive Oil,92.64,92.16,0.480000000000004,0.5208333333333376
2020-03-01,Healthy,Broccoli,3.6,3.48,0.1200000000000001,3.448275862068969
2020-03-01,Healthy,Bananas,3.5999999999999996,3.54,0.05999999999999961,1.694915254237277
2020-03-01,Healthy,Brown Rice,3.7,3.66,0.040000000000000036,1.0928961748633887
2020-03-01,Healthy,Carrots,2.52,2.48,0.040000000000000036,1.6129032258064528
2020-03-01,Healthy,Spinach,2.22,2.19,0.03000000000000025,1.3698630136986416
2020-03-01,Healthy,Whole Wheat,2.45,2.43,0.020000000000000018,0.8230452674897125
2020-03-01,Healthy,Lentils (Dry),1.37,1.35,0.020000000000000018,1.4814814814814827
2020-03-01,Healthy,Oats,3.29,3.28,0.010000000000000231,0.3048780487804949
2020-03-01,Healthy,Peanut Butter,26.08,26.08,0.0,0.0
2020-03-01,Healthy,Quinoa,4.82,4.83,-0.009999999999999787,-0.20703933747411568
2020-03-01,Healthy,Chickpeas (Dry),1.38,1.41,-0.030000000000000027,-2.1276595744680873
2020-03-01,Healthy,Tofu,33.46,33.74,-0.28000000000000114,-0.8298755186722024
2020-03-01,Healthy,Apples,25.98,26.339999999999996,-0.3599999999999959,-1.3667425968109186
2020-03-01,Healthy,Greek Yogurt,131.2,132.16,-0.960000000000008,-0.7263922518159867
2020-04-01,Healthy,Greek Yogurt,134.08,131.2,2.880000000000024,2.1951219512195306
2020-04-01,Healthy,Peanut Butter,26.4,26.08,0.3200000000000003,1.2269938650306762
2020-04-01,Healthy,Quinoa,4.87,4.82,0.04999999999999982,1.0373443983402453
2020-04-01,Healthy,Oats,3.34,3.29,0.04999999999999982,1.5197568389057698
2020-04-01,Healthy,Whole Wheat,2.47,2.45,0.020000000000000018,0.8163265306122455
2020-04-01,Healthy,Lentils (Dry),1.39,1.37,0.019999999999999796,1.4598540145985253
2020-04-01,Healthy,Chickpeas (Dry),1.39,1.38,0.010000000000000009,0.724637681159421
2020-04-01,Healthy,Broccoli,3.6,3.6,0.0,0.0
2020-04-01,Healthy,Spinach,2.22,2.22,0.0,0.0
2020-04-01,Healthy,Tofu,33.46,33.46,0.0,0.0
2020-04-01,Healthy,Carrots,2.52,2.52,0.0,0.0
2020-04-01,Healthy,Brown Rice,3.68,3.7,-0.020000000000000018,-0.540540540540541
2020-04-01,Healthy,Bananas,3.4799999999999995,3.5999999999999996,-0.1200000000000001,-3.3333333333333366
2020-04-01,Healthy,Apples,25.86,25.98,-0.120000000000001,-0.46189376443418395
2020-04-01,Healthy,Olive Oil,91.84,92.64,-0.7999999999999972,-0.8635578583765081
2020-05-01,Healthy,Olive Oil,93.44,91.84,1.5999999999999943,1.7421602787456383
2020-05-01,Healthy,Greek Yogurt,134.4,134.08,0.3199999999999932,0.23866348448686842
2020-05-01,Healthy,Bananas,3.5999999999999996,3.4799999999999995,0.1200000000000001,3.448275862068969
2020-05-01,Healthy,Apples,25.92,25.86,0.060000000000002274,0.23201856148492758
2020-05-01,Healthy,Brown Rice,3.7,3.68,0.020000000000000018,0.5434782608695656
2020-05-01,Healthy,Chickpeas (Dry),1.41,1.39,0.020000000000000018,1.4388489208633108
2020-05-01,Healthy,Broccoli,3.6,3.6,0.0,0.0
2020-05-01,Healthy,Carrots,2.52,2.52,0.0,0.0
2020-05-01,Healthy,Quinoa,4.86,4.87,-0.009999999999999787,-0.20533880903490323
2020-05-01,Healthy,Lentils (Dry),1.38,1.39,-0.010000000000000009,-0.7194244604316554
2020-05-01,Healthy,Spinach,2.21,2.22,-0.010000000000000231,-0.45045045045046084
2020-05-01,Healthy,Oats,3.32,3.34,-0.020000000000000018,-0.5988023952095813
2020-05-01,Healthy,Whole Wheat,2.44,2.47,-0.03000000000000025,-1.214574898785435
2020-05-01,Healthy,Tofu,33.32,33.46,-0.14000000000000057,-0.4184100418410059
2020-05-01,Healthy,Peanut Butter,26.08,26.4,-0.3200000000000003,-1.2121212121212133
2020-06-01,Healthy,Tofu,33.879999999999995,33.32,0.5599999999999952,1.6806722689075484
2020-06-01,Healthy,Peanut Butter,26.56,26.08,0.4800000000000004,1.840490797546014
2020-06-01,Healthy,Quinoa,4.93,4.86,0.0699999999999994,1.4403292181069833
2020-06-01,Healthy,Carrots,2.56,2.52,0.040000000000000036,1.5873015873015885
2020-06-01,Healthy,Spinach,2.23,2.21,0.020000000000000018,0.9049773755656116
2020-06-01,Healthy,Lentils (Dry),1.39,1.38,0.010000000000000009,0.724637681159421
2020-06-01,Healthy,Brown Rice,3.7,3.7,0.0,0.0
2020-06-01,Healthy,Bananas,3.5999999999999996,3.5999999999999996,0.0,0.0
2020-06-01,Healthy,Whole Wheat,2.43,2.44,-0.009999999999999787,-0.40983606557376173
2020-06-01,Healthy,Chickpeas (Dry),1.4,1.41,-0.010000000000000009,-0.7092198581560291
2020-06-01,Healthy,Broccoli,3.58,3.6,-0.020000000000000018,-0.555555555555556
2020-06-01,Healthy,Oats,3.26,3.32,-0.06000000000000005,-1.8072289156626522
2020-06-01,Healthy,Apples,25.740000000000002,25.92,-0.17999999999999972,-0.6944444444444433
2020-06-01,Healthy,Olive Oil,91.2,93.44,-2.239999999999995,-2.3972602739725972
2020-06-01,Healthy,Greek Yogurt,132.16,134.4,-2.240000000000009,-1.6666666666666732
2020-07-01,Healthy,Olive Oil,92.32,91.2,1.1199999999999903,1.2280701754385859
2020-07-01,Healthy,Apples,25.98,25.740000000000002,0.23999999999999844,0.9324009324009264
