date,basket_type,item_name,scraped_name,brand,store,price,unit_size,price_per_100g,calories_per_100g,protein_per_100g,fiber_per_100g,sugar_per_100g,saturated_fat_per_100g,nutrient_density_score,cost_per_100_calories,cost_per_gram_protein
2020-01-01,Healthy,Apples,Gala Apples Bag,Fresh,Walmart,4.33,3 lb bag,0.3182007913131919,,0.148,2.08,13.3,,,,2.1500053467107563
2020-01-01,Healthy,Bananas,Fresh Bananas,Fresh,Walmart,0.59,1 lb,0.1300728407908429,97.0,0.74,1.7,15.8,0.112,0.13667936365673314,0.13409571215550814,0.1757741091768147
2020-01-01,Healthy,Broccoli,Fresh Broccoli Crowns,Fresh,Walmart,1.82,1 lb,0.4012416444734475,34.0,2.8,2.6,1.7,0.1,2.17741935483871,1.1801224837454338,0.14330058731194556
2020-01-01,Healthy,Brown Rice,Great Value Long Grain Brown Rice,Great Value,Walmart,1.83,2 lb,0.2017231344468156,124.0,2.45,1.0,0.22,0.2,1.1896551724137931,0.1626799471345287,0.0823359732435982
2020-01-01,Healthy,Carrots,Fresh Whole Carrots,Fresh,Walmart,1.25,2 lb bag,0.1377890262614861,41.0,0.9,2.8,4.7,0.0,0.6702898550724636,0.3360707957597222,0.15309891806831788
2020-01-01,Healthy,Chickpeas (Dry),Great Value Garbanzo Beans,Great Value,Walmart,1.4,1 lb,0.3086474188257288,211.0,8.23,7.1,4.46,1.12,1.5642857142857143,0.14627839754773878,0.03750272403714809
2020-01-01,Healthy,Greek Yogurt,Great Value Nonfat Plain Greek Yogurt,Great Value,Walmart,4.0,32 oz,0.4409248840367555,59.0,10.3,0.0,3.27,0.108,2.25976305397104,0.7473303119267043,0.042808241168617034
2020-01-01,Healthy,Lentils (Dry),Great Value Brown Lentils,Great Value,Walmart,1.35,1 lb,0.29762429672481,,,,,,,,
2020-01-01,Healthy,Oats,Great Value Old Fashioned Oats,Great Value,Walmart,3.3,42 oz,0.2771527842516749,371.0,13.7,9.4,1.42,1.11,2.3216080402010055,0.07470425451527625,0.020230130237348532
2020-01-01,Healthy,Olive Oil,Great Value Extra Virgin Olive Oil,Great Value,Walmart,5.78,16.9 oz,1.2064122270922826,900.0,0.0,0.0,0.0,15.52,0.0,0.13404580301025362,
2020-01-01,Healthy,Peanut Butter,Great Value Creamy Peanut Butter,Great Value,Walmart,1.66,16 oz,0.365967653750507,520.0,25.9,5.2,9.28,5.76,1.2224842767295598,0.07037839495202057,0.014130025241332318
2020-01-01,Healthy,Quinoa,Great Value Organic White Quinoa,Great Value,Walmart,4.89,12 oz,1.437415121959823,120.0,4.4,2.8,0.87,0.231,2.0565552699228795,1.1978459349665191,0.32668525499086887
2020-01-01,Healthy,Spinach,Fresh Spinach Bag,Fresh,Walmart,2.22,10 oz bag,0.7830825940492778,27.0,2.85,1.6,0.42,0.063,4.349951124144672,2.900305903886214,0.2747658224734308
2020-01-01,Healthy,Tofu,Nasoya Extra Firm Tofu,Nasoya,Walmart,2.44,14 oz,0.6147752668855334,89.0,8.86,1.3,0.0,0.0,5.707865168539326,0.690758726837678,0.06938772763945072
2020-01-01,Healthy,Whole Wheat,Great Value 100% Whole Wheat Bread,Great Value,Walmart,2.43,20 oz,0.4285789872837263,247.0,13.0,7.0,6.0,1.0,1.675041876046901,0.17351376003389726,0.032967614406440485
2020-01-01,Neutral,Bananas,Fresh Bananas,Fresh,Walmart,0.6,1 lb,0.1322774652110266,97.0,0.74,1.7,15.8,0.112,0.13667936365673314,0.1363685208361099,0.17875333136625216
